time_s,controller_clock_s,target_angle_deg,link_angle_deg,link_velocity_rad_s,motor_angle_deg,motor_velocity_rad_s,tracking_error_deg,policy_output_raw,safe_command_raw,pre_integer_command_raw,pdo_command_raw,actual_torque_raw,fault_code,armed
1.52,14.061,30,31.0473632813,0.0234677944709,28.1750976562,0.00323523903523,-1.04736328125,-32.5304718018,-28.1720371246,-27.3591136932,-27,-28,0,1
1.562,14.103,30,30.9484863281,-0.0701960075783,28.1799316406,0.00233261572407,-0.948486328125,-8.16205596924,-5.30971097946,-5.08128166199,-6,-3,0,1
1.594,14.135,30,30.7507324219,-0.101850247331,28.184765625,0.00188843208576,-0.750732421875,1.33261477947,1.95926129818,1.94448363781,1,0,0,1
1.626,14.167,30,30.5914306641,-0.0693469933274,28.184765625,2.76827449852e-11,-0.591430664062,1.61795032024,0.189098238945,0.189098238945,-1,0,0,1
1.654,14.195,30,30.5529785156,-0.0145395669031,28.1843261719,-7.99261613338e-07,-0.552978515625,-5.4294667244,-9.16973495483,-9.7086687088,-10,-5,0,1
1.681,14.222,30,30.5804443359,0.0302535137906,28.1834472656,-0.00109318306988,-0.580444335937,-15.5690059662,-18.2045288086,-18.7349891663,-20,-19,0,1
1.705,14.246,30,30.6463623047,0.0568566782089,28.1825683594,-0.00186319216476,-0.646362304688,-24.001367569,-25.2594814301,-25.2594814301,-26,-28,0,1
1.728,14.269,30,30.7452392578,0.0679139899644,28.1821289063,-4.52771042774e-05,-0.745239257812,-29.4688034058,-29.8405418396,-29.7602653503,-30,-29,0,1
1.766,14.307,30,30.849609375,0.0378491808806,28.1821289063,-1.70530256582e-13,-0.849609375,-27.5184402466,-25.7264785767,-25.382390976,-26,-22,0,1
1.796,14.337,30,30.8551025391,-0.00421067419563,28.1825683594,1.58165676112e-08,-0.855102539062,-18.1115474701,-16.6829166412,-16.2317657471,-16,-19,0,1
1.828,14.369,30,30.8111572266,-0.0274364859113,28.1830078125,1.33354660647e-10,-0.811157226562,-11.4475851059,-10.6135492325,-10.4019365311,-11,-8,0,1
1.856,14.397,30,30.7507324219,-0.0372286789072,28.1830078125,0,-0.750732421875,-8.56087684631,-8.41255474091,-8.40132713318,-9,-8,0,1
1.88,14.421,30,30.7122802734,-0.0239817649505,28.1830078125,0,-0.712280273438,-9.00085163116,-9.22468948364,-9.13365745544,-10,-12,0,1
1.905,14.446,30,30.6958007812,-0.00997639149216,28.1830078125,0,-0.69580078125,-11.3796281815,-12.0533285141,-12.0788812637,-13,-10,0,1
1.929,14.47,30,30.7067871094,0.00743558943248,28.1830078125,0,-0.706787109375,-15.5274438858,-15.7901277542,-16.0218601227,-17,-19,0,1
1.956,14.497,30,30.7232666016,0.0111830718095,28.1830078125,0,-0.723266601562,-17.1517295837,-17.3983001709,-17.4218616486,-18,-14,0,1
1.987,14.528,30,30.7397460938,0.0137242340942,28.1830078125,0,-0.73974609375,-17.4394721985,-17.6522483826,-17.6326198578,-18,-21,0,1
2.009,14.55,30,30.7507324219,0.0128046913917,28.1830078125,0,-0.750732421875,-16.8745117188,-17.0776901245,-16.8828716278,-17,-22,0,1
2.033,14.574,30,30.7507324219,0.000576102109335,28.1830078125,0,-0.750732421875,-16.2064247131,-15.3826169968,-15.3574104309,-16,-19,0,1
2.064,14.605,30,30.7452392578,-0.00128828546269,28.1830078125,0,-0.745239257812,-13.9326925278,-14.5142230988,-14.5142230988,-15,-14,0,1
2.089,14.63,30,30.7507324219,0.00299328726055,28.1830078125,0,-0.750732421875,-14.8852443695,-16.4264011383,-16.5256538391,-17,-15,0,1
2.116,14.657,30,30.7452392578,-0.00265779753761,28.1830078125,0,-0.745239257812,-14.7793722153,-14.2861185074,-14.1334943771,-15,-12,0,1
2.157,14.698,30,30.7507324219,0.0050345732742,28.1830078125,0,-0.750732421875,-15.3152265549,-15.6322498322,-15.8712491989,-17,-17,0,1
2.188,14.729,30,30.7507324219,0.00105234070031,28.1830078125,0,-0.750732421875,-15.327548027,-15.2217168808,-15.2117710114,-16,-19,0,1
2.219,14.76,30,30.7452392578,-0.000413605755057,28.1830078125,0,-0.745239257812,-14.6383638382,-14.8974313736,-14.9173650742,-15,-14,0,1
2.251,14.792,30,30.7507324219,0.00323309330849,28.1830078125,0,-0.750732421875,-16.0158882141,-15.9477863312,-15.5639772415,-16,-14,0,1
2.277,14.818,30,30.7452392578,-0.00601227245761,28.1830078125,0,-0.745239257812,-15.2770376205,-14.727063179,-14.5366630554,-15,-17,0,1
2.301,14.842,30,30.7452392578,-0.000741618552638,28.1830078125,0,-0.745239257812,-14.8499250412,-14.7669019699,-14.7996397018,-15,-14,0,1
2.326,14.867,30,30.7507324219,-0.00317856339052,28.1830078125,0,-0.750732421875,-14.9116020203,-15.8359165192,-15.7466440201,-16,-17,0,1
2.353,14.894,30,30.7452392578,-0.00404884944999,28.1830078125,0,-0.745239257812,-14.9083089828,-15.3676652908,-15.2885074615,-15,-14,0,1
2.38,14.921,30,30.7507324219,0.00680317743559,28.1830078125,0,-0.750732421875,-14.9859800339,-15.3408403397,-15.3408403397,-16,-14,0,1
2.41,14.951,30,30.7452392578,0.00688138031433,28.1830078125,0,-0.745239257812,-14.7392625809,-14.9592761993,-14.7539014816,-15,-14,0,1
2.437,14.978,30,30.7452392578,-0.00534231634572,28.1830078125,0,-0.745239257812,-15.4582843781,-15.4672393799,-15.4672393799,-16,-10,0,1
2.481,15.022,30,30.7452392578,-0.00184273484922,28.1830078125,0,-0.745239257812,-14.7290019989,-14.6179418564,-14.6579904556,-15,-10,0,1
2.513,15.054,30,30.7452392578,-0.00176498607323,28.1830078125,0,-0.745239257812,-14.8002853394,-15.4579944611,-15.4202365875,-16,-7,0,1
2.546,15.087,30,30.7507324219,0.00510624211131,28.1830078125,0,-0.750732421875,-15.521021843,-15.0040388107,-15.0040388107,-15,-14,0,1
2.572,15.113,30,30.7452392578,-0.00149999830694,28.1830078125,0,-0.745239257812,-14.9291601181,-14.6569070816,-14.4826164246,-15,-14,0,1
2.596,15.137,30,30.7452392578,-0.0027629771032,28.1830078125,0,-0.745239257812,-15.5588283539,-15.0539054871,-15.00785923,-16,-17,0,1
2.62,15.161,30,30.7452392578,-0.0042033989921,28.1830078125,0,-0.745239257812,-15.1453762054,-15.4348726273,-15.4348726273,-16,-19,0,1
2.655,15.196,30,30.7452392578,-0.00218195679236,28.1830078125,0,-0.745239257812,-14.792552948,-14.9209127426,-14.9420289993,-15,-10,0,1
2.687,15.228,30,30.7452392578,-0.00208656648601,28.1830078125,0,-0.745239257812,-14.8805303574,-15.7933702469,-15.6966876984,-16,-15,0,1
2.716,15.257,30,30.7452392578,0.00641212771575,28.1830078125,0,-0.745239257812,-15.458562851,-15.521771431,-15.2216901779,-16,-19,0,1
2.748,15.289,30,30.7507324219,0.00676958841655,28.1830078125,0,-0.750732421875,-14.5339317322,-14.7074251175,-14.7434644699,-15,-14,0,1
2.778,15.319,30,30.7452392578,-0.00225641541988,28.1830078125,0,-0.745239257812,-14.8647184372,-15.3648986816,-15.2922706604,-16,-17,0,1
2.81,15.351,30,30.7452392578,-0.00310755713508,28.1830078125,0,-0.745239257812,-14.937787056,-15.1824455261,-15.1431283951,-16,-17,0,1
2.843,15.384,30,30.7452392578,-0.00322206063368,28.1830078125,0,-0.745239257812,-14.9703121185,-15.2807998657,-15.231877327,-16,-15,0,1
2.869,15.41,30,30.7452392578,-0.00277485483468,28.1830078125,0,-0.745239257812,-15.2748451233,-15.3399524689,-15.2880039215,-16,-14,0,1
2.895,15.436,30,30.7452392578,-0.00485368931004,28.1830078125,0,-0.745239257812,-15.2254667282,-15.3626613617,-15.2638587952,-15,-10,0,1
2.918,15.459,30,30.7507324219,0.00569472513325,28.1830078125,0,-0.750732421875,-14.9388685226,-15.4650287628,-15.6846380234,-16,-12,0,1
2.95,15.491,30,30.7452392578,-0.00116727825366,28.1830078125,0,-0.745239257812,-14.4783592224,-15.0639982224,-15.0467567444,-16,-17,0,1
2.981,15.522,30,30.7452392578,-0.00293948059357,28.1830078125,0,-0.745239257812,-15.0260362625,-15.5389757156,-15.4937458038,-16,-19,0,1
3.012,15.553,30,30.7452392578,-0.00345679355473,28.1830078125,0,-0.745239257812,-14.6152248383,-15.572435379,-15.4830636978,-16,-14,0,1
3.045,15.586,30,30.7452392578,-0.00302314514579,28.1830078125,0,-0.745239257812,-15.3858795166,-15.3544740677,-15.0651369095,-16,-17,0,1
3.069,15.61,30,30.7452392578,-0.00255621446047,28.1830078125,0,-0.745239257812,-15.2537126541,-14.8530473709,-14.8530473709,-15,-12,0,1
3.095,15.636,30,30.7452392578,-0.00389538916977,28.1830078125,0,-0.745239257812,-15.2159490585,-14.9535121918,-14.9266395569,-16,-19,0,1
3.119,15.66,30,30.7452392578,0.00664083586423,28.1830078125,0,-0.745239257812,-14.856637001,-15.0941009521,-15.0927972794,-16,-14,0,1
3.147,15.688,30,30.7507324219,-0.00227743250036,28.1830078125,0,-0.750732421875,-14.8867053986,-15.029747963,-15.029747963,-16,-15,0,1
3.172,15.713,30,30.7452392578,-0.0036748537791,28.1830078125,0,-0.745239257812,-15.4910707474,-15.9843130112,-15.6423311234,-16,-19,0,1
3.195,15.736,30,30.7452392578,-0.00288143186208,28.1830078125,0,-0.745239257812,-15.4200782776,-15.0494337082,-15.0146446228,-15,-12,0,1
3.221,15.762,30,30.7507324219,0.00738952285428,28.1830078125,0,-0.750732421875,-14.8338689804,-15.2739477158,-15.2585487366,-16,-12,0,1
3.247,15.788,30,30.7452392578,0.00714972969206,28.1830078125,0,-0.745239257812,-14.9810533524,-15.3083152771,-15.5385408401,-16,-14,0,1
3.27,15.811,30,30.7507324219,0.00579187841106,28.1830078125,0,-0.750732421875,-15.1866292953,-15.2830400467,-15.0489187241,-15,-14,0,1
3.295,15.836,30,30.7452392578,-0.00229522053883,28.1830078125,0,-0.745239257812,-15.4816398621,-14.8123369217,-14.8952112198,-15,-19,0,1
3.318,15.859,30,30.7452392578,-0.00208803549947,28.1830078125,0,-0.745239257812,-15.1725244522,-14.9673442841,-15.271033287,-16,-22,0,1
3.352,15.893,30,30.7507324219,-0.00362464497402,28.1830078125,0,-0.750732421875,-14.9699516296,-15.1375007629,-15.4028234482,-16,-14,0,1
3.383,15.924,30,30.7507324219,-0.00344863718487,28.1830078125,0,-0.750732421875,-14.810418129,-14.9043245316,-14.9204549789,-15,-14,0,1
3.414,15.955,30,30.7507324219,0.0072021205782,28.1830078125,0,-0.750732421875,-14.9660158157,-15.1847295761,-15.1740407944,-16,-15,0,1
3.447,15.988,30,30.7507324219,0.00776129225096,28.1830078125,0,-0.750732421875,-15.2614030838,-15.3022222519,-15.0169000626,-15,-8,0,1
3.469,16.01,30,30.7452392578,-0.00345370344814,28.1830078125,0,-0.745239257812,-14.9176263809,-14.889509201,-15.1741456985,-16,-15,0,1
3.494,16.035,30,30.7507324219,-0.00252821529205,28.1830078125,0,-0.750732421875,-15.2380466461,-14.9542140961,-14.7224521637,-15,-17,0,1
3.518,16.059,30,30.7452392578,-0.00346271043281,28.1830078125,0,-0.745239257812,-14.8577756882,-15.2426729202,-15.1818637848,-16,-15,0,1
3.554,16.095,30,30.7507324219,0.0064177955029,28.1830078125,0,-0.750732421875,-14.7848558426,-14.9283952713,-15.2347593307,-16,-12,0,1
3.586,16.127,30,30.7507324219,-0.00308852583896,28.1830078125,0,-0.750732421875,-15.2818241119,-14.9434576035,-14.9492969513,-15,-14,0,1
3.617,16.158,30,30.7507324219,-0.0037613841879,28.1830078125,0,-0.750732421875,-14.8250246048,-15.1736040115,-15.1736040115,-16,-19,0,1
3.65,16.191,30,30.7452392578,-0.00231278196395,28.1830078125,0,-0.745239257812,-14.7094774246,-14.8530864716,-14.8477573395,-16,-17,0,1
3.675,16.216,30,30.7452392578,-0.00245949979569,28.1830078125,0,-0.745239257812,-14.9447536469,-15.4190502167,-15.3810033798,-16,-14,0,1
3.698,16.239,30,30.7452392578,-0.000962156697256,28.1830078125,0,-0.745239257812,-14.7653989792,-15.1347799301,-15.1347799301,-16,-21,0,1
3.721,16.262,30,30.7452392578,-0.00213734521878,28.1830078125,0,-0.745239257812,-15.1518297195,-14.8973007202,-15.1794700623,-16,-19,0,1
3.746,16.287,30,30.7507324219,0.00576215885189,28.1830078125,0,-0.750732421875,-15.0658941269,-15.4798612595,-15.4798612595,-16,-14,0,1
3.771,16.312,30,30.7507324219,-0.00401930784926,28.1830078125,0,-0.750732421875,-15.1531305313,-15.1212072372,-15.0819883347,-15,-14,0,1
3.796,16.337,30,30.7452392578,-0.00215264987935,28.1830078125,0,-0.745239257812,-15.0182409286,-15.0243272781,-14.99908638,-15,-19,0,1
3.821,16.362,30,30.7452392578,-0.00290176395151,28.1830078125,0,-0.745239257812,-15.0165433884,-14.9053449631,-14.9053449631,-15,-17,0,1
3.851,16.392,30,30.7452392578,-0.00235972368898,28.1830078125,0,-0.745239257812,-15.381269455,-14.7940797806,-14.8023481369,-15,-14,0,1
3.881,16.422,30,30.7452392578,0.00781483008006,28.1830078125,0,-0.745239257812,-14.7069168091,-14.7134695053,-14.7134695053,-16,-15,0,1
3.913,16.454,30,30.7452392578,0.00631286730925,28.1830078125,0,-0.745239257812,-15.4589118958,-15.6741371155,-15.3710603714,-16,-14,0,1
3.945,16.486,30,30.7452392578,-0.00165670788158,28.1830078125,0,-0.745239257812,-15.0900125504,-15.052397728,-15.0216560364,-16,-17,0,1
3.97,16.511,30,30.7507324219,-0.00372775382857,28.1830078125,0,-0.750732421875,-15.6484966278,-14.9041128159,-15.186009407,-16,-17,0,1
