step,time_s,angle_q_deg,angle_th_deg,target_deg,error_q_deg,action_A,inference_ms
284,0.284000,16.620980,16.579810,17.682226,-1.061246,-19.272335,0.914159
285,0.285000,16.661833,16.493319,17.682226,-1.020393,-17.497059,0.805510
286,0.286000,16.703038,16.405921,17.682226,-0.979188,-15.823019,0.815381
287,0.287000,16.744550,16.317739,17.682226,-0.937676,-13.952986,0.819771
288,0.288000,16.786322,16.228900,17.682226,-0.895904,-12.416903,0.799201
289,0.289000,16.828309,16.139517,17.682226,-0.853917,-10.221869,0.819600
290,0.290000,16.870463,16.049730,17.682226,-0.811763,-8.602179,0.806761
291,0.291000,16.912737,15.959661,17.682226,-0.769489,-6.170940,0.817121
292,0.292000,16.955084,15.869466,17.682226,-0.727142,-3.963857,0.811990
293,0.293000,16.997459,15.779301,17.682226,-0.684767,-1.265626,0.835091
294,0.294000,17.039811,15.689344,17.682226,-0.642415,0.388696,0.814451
295,0.295000,17.082095,15.599722,17.682226,-0.600131,2.417497,0.809480
296,0.296000,17.124264,15.510567,17.682226,-0.557962,4.579514,0.853411
297,0.297000,17.166272,15.422022,17.682226,-0.515954,7.674231,0.799860
298,0.298000,17.208071,15.334282,17.682226,-0.474155,10.388758,0.799321
299,0.299000,17.249615,15.247538,17.682226,-0.432611,12.990058,0.832011
300,0.300000,17.290860,15.161968,17.682226,-0.391366,15.581709,1.281455
301,0.301000,17.331760,15.077747,17.682226,-0.350466,17.703463,0.803401
302,0.302000,17.372270,14.995020,17.682226,-0.309956,19.805182,1.108077
303,0.303000,17.412346,14.913925,17.682226,-0.269880,21.656681,0.813680
304,0.304000,17.451946,14.834578,17.682226,-0.230280,23.714188,0.798720
305,0.305000,17.491027,14.757110,17.682226,-0.191199,25.388939,0.799571
306,0.306000,17.529547,14.681632,17.682226,-0.152679,27.298908,0.811411
307,0.307000,17.567469,14.608257,17.682226,-0.114757,29.653286,0.810800
308,0.308000,17.604748,14.537132,17.682226,-0.077478,32.314991,0.805410
309,0.309000,17.641347,14.468431,17.682226,-0.040879,34.515583,0.812451
310,0.310000,17.677233,14.402303,17.682226,-0.004993,36.516209,0.811411
311,0.311000,17.712364,14.338881,17.682226,0.030138,38.375847,0.806201
312,0.312000,17.746708,14.278283,17.682226,0.064482,40.094921,0.801320
313,0.313000,17.780231,14.220619,17.682226,0.098005,41.642719,0.795160
314,0.314000,17.812899,14.165981,17.682226,0.130673,43.087215,0.819700
315,0.315000,17.844685,14.114458,17.682226,0.162459,44.341702,0.801251
316,0.316000,17.875554,14.066123,17.682226,0.193329,45.393475,0.812551
317,0.317000,17.905484,14.021039,17.682226,0.223258,46.452946,0.811320
318,0.318000,17.934443,13.979261,17.682226,0.252217,47.400387,1.071497
319,0.319000,17.962409,13.940844,17.682226,0.280183,48.232353,0.888790
320,0.320000,17.989357,13.905831,17.682226,0.307131,48.852383,1.192056
321,0.321000,18.015268,13.874253,17.682226,0.333042,49.280392,0.825571
322,0.322000,18.040118,13.846130,17.682226,0.357892,49.638557,0.813351
323,0.323000,18.063890,13.821473,17.682226,0.381664,49.897915,0.809970
324,0.324000,18.086568,13.800285,17.682226,0.404342,49.972359,0.803561
325,0.325000,18.108134,13.782563,17.682226,0.425908,49.860695,0.801281
326,0.326000,18.128577,13.768285,17.682226,0.446351,49.537399,0.795901
327,0.327000,18.147883,13.757420,17.682226,0.465657,49.030380,0.796861
328,0.328000,18.166042,13.749920,17.682226,0.483816,48.323895,0.784651
329,0.329000,18.183044,13.745728,17.682226,0.500818,47.832191,0.800521
330,0.330000,18.198885,13.744792,17.682226,0.516659,47.192886,0.805891
331,0.331000,18.213557,13.747059,17.682226,0.531331,46.291420,0.809671
332,0.332000,18.227055,13.752459,17.682226,0.544829,45.120586,0.802950
333,0.333000,18.239378,13.760904,17.682226,0.557152,43.807629,0.804570
334,0.334000,18.250525,13.772294,17.682226,0.568299,42.717815,0.805821
335,0.335000,18.260494,13.786542,17.682226,0.578268,41.590919,0.843980
336,0.336000,18.269289,13.803560,17.682226,0.587063,40.571136,1.308184
337,0.337000,18.276913,13.823268,17.682226,0.594687,39.442371,0.800730
338,0.338000,18.283371,13.845585,17.682226,0.601145,38.238033,1.127287
339,0.339000,18.288666,13.870421,17.682226,0.606441,37.231716,0.821800
340,0.340000,18.292809,13.897698,17.682226,0.610583,36.794304,0.809201
341,0.341000,18.295807,13.927376,17.682226,0.613582,36.296131,0.796391
342,0.342000,18.297669,13.959419,17.682226,0.615443,35.667927,0.799341
343,0.343000,18.298406,13.993780,17.682226,0.616180,34.890804,0.795301
344,0.344000,18.298032,14.030408,17.682226,0.615806,34.036434,0.790421
345,0.345000,18.296560,14.069239,17.682226,0.614335,33.296291,0.798821
346,0.346000,18.294003,14.110216,17.682226,0.611777,32.680210,0.805120
347,0.347000,18.290377,14.153290,17.682226,0.608152,31.740986,0.796551
348,0.348000,18.285700,14.198395,17.682226,0.603475,30.865980,0.801441
349,0.349000,18.279990,14.245465,17.682226,0.597764,30.098686,0.803681
350,0.350000,18.273266,14.294441,17.682226,0.591040,29.107994,0.781781
351,0.351000,18.265548,14.345252,17.682226,0.583322,28.072569,0.796931
352,0.352000,18.256857,14.397822,17.682226,0.574631,26.977909,0.808321
353,0.353000,18.247214,14.452072,17.682226,0.564988,26.164639,0.813530
354,0.354000,18.236643,14.507938,17.682226,0.554417,25.369289,1.171656
355,0.355000,18.225168,14.565360,17.682226,0.542942,24.500175,0.886490
356,0.356000,18.212814,14.624277,17.682226,0.530588,23.546432,1.233766
357,0.357000,18.199606,14.684623,17.682226,0.517380,22.733934,0.796831
