step,time(s),angle(deg),motor_angle(deg),target(deg),error(deg),action,reward
181,0.181000,-0.056230,-0.135934,0.000000,-0.056230,8.440240,0.999937
182,0.182000,-0.056649,-0.133047,0.000000,-0.056649,8.222541,0.999936
183,0.183000,-0.057094,-0.129632,0.000000,-0.057094,7.944544,0.999935
184,0.184000,-0.057564,-0.125714,0.000000,-0.057564,7.608118,0.999934
185,0.185000,-0.058058,-0.121321,0.000000,-0.058058,7.215570,0.999933
186,0.186000,-0.058572,-0.116485,0.000000,-0.058572,6.769640,0.999931
187,0.187000,-0.059107,-0.111244,0.000000,-0.059107,6.273474,0.999930
188,0.188000,-0.059659,-0.105634,0.000000,-0.059659,5.730591,0.999929
189,0.189000,-0.060226,-0.099698,0.000000,-0.060226,5.144868,0.999927
190,0.190000,-0.060805,-0.093480,0.000000,-0.060805,4.520490,0.999926
191,0.191000,-0.061395,-0.087025,0.000000,-0.061395,3.861942,0.999925
192,0.192000,-0.061993,-0.080382,0.000000,-0.061993,3.173952,0.999923
193,0.193000,-0.062596,-0.073599,0.000000,-0.062596,2.461460,0.999922
194,0.194000,-0.063201,-0.066727,0.000000,-0.063201,1.729584,0.999920
195,0.195000,-0.063806,-0.059818,0.000000,-0.063806,0.983567,0.999919
196,0.196000,-0.064407,-0.052923,0.000000,-0.064407,0.228760,0.999917
197,0.197000,-0.065003,-0.046094,0.000000,-0.065003,-0.529429,0.999915
198,0.198000,-0.065590,-0.039381,0.000000,-0.065590,-1.285578,0.999914
199,0.199000,-0.066166,-0.032836,0.000000,-0.066166,-2.034280,0.999912
200,0.200000,-0.066728,-0.026508,0.000000,-0.066728,-2.770174,0.999911
201,0.201000,-0.067274,-0.020444,0.000000,-0.067274,-3.488002,0.999909
202,0.202000,-0.067801,-0.014691,0.000000,-0.067801,-4.182614,0.999908
203,0.203000,-0.068307,-0.009294,0.000000,-0.068307,-4.849030,0.999907
204,0.204000,-0.068790,-0.004294,0.000000,-0.068790,-5.482442,0.999905
205,0.205000,-0.069247,0.000271,0.000000,-0.069247,-6.078274,0.999904
206,0.206000,-0.069678,0.004364,0.000000,-0.069678,-6.632194,0.999903
207,0.207000,-0.070079,0.007952,0.000000,-0.070079,-7.140131,0.999902
208,0.208000,-0.070451,0.011007,0.000000,-0.070451,-7.598343,0.999901
209,0.209000,-0.070790,0.013503,0.000000,-0.070790,-8.003394,0.999900
210,0.210000,-0.071098,0.015418,0.000000,-0.071098,-8.352220,0.999899
211,0.211000,-0.071372,0.016736,0.000000,-0.071372,-8.642118,0.999898
212,0.212000,-0.071612,0.017442,0.000000,-0.071612,-8.870798,0.999897
213,0.213000,-0.071818,0.017529,0.000000,-0.071818,-9.036382,0.999897
214,0.214000,-0.071990,0.016992,0.000000,-0.071990,-9.137428,0.999896
215,0.215000,-0.072127,0.015831,0.000000,-0.072127,-9.172946,0.999896
216,0.216000,-0.072231,0.014051,0.000000,-0.072231,-9.142411,0.999896
217,0.217000,-0.072301,0.011661,0.000000,-0.072301,-9.045771,0.999895
218,0.218000,-0.072339,0.008674,0.000000,-0.072339,-8.883449,0.999895
219,0.219000,-0.072345,0.005109,0.000000,-0.072345,-8.656350,0.999895
220,0.220000,-0.072322,0.000987,0.000000,-0.072322,-8.365859,0.999895
221,0.221000,-0.072269,-0.003664,0.000000,-0.072269,-8.013828,0.999896
222,0.222000,-0.072190,-0.008816,0.000000,-0.072190,-7.602581,0.999896
223,0.223000,-0.072087,-0.014433,0.000000,-0.072087,-7.134864,0.999896
224,0.224000,-0.071960,-0.020479,0.000000,-0.071960,-6.613879,0.999896
225,0.225000,-0.071812,-0.026913,0.000000,-0.071812,-6.043212,0.999897
226,0.226000,-0.071647,-0.033691,0.000000,-0.071647,-5.426838,0.999897
227,0.227000,-0.071466,-0.040767,0.000000,-0.071466,-4.769076,0.999898
228,0.228000,-0.071271,-0.048092,0.000000,-0.071271,-4.074567,0.999898
229,0.229000,-0.071067,-0.055616,0.000000,-0.071067,-3.348224,0.999899
230,0.230000,-0.070855,-0.063287,0.000000,-0.070855,-2.595218,0.999900
231,0.231000,-0.070638,-0.071051,0.000000,-0.070638,-1.820904,0.999900
232,0.232000,-0.070420,-0.078854,0.000000,-0.070420,-1.030817,0.999901
233,0.233000,-0.070203,-0.086642,0.000000,-0.070203,-0.230613,0.999901
234,0.234000,-0.069990,-0.094359,0.000000,-0.069990,0.573952,0.999902
235,0.235000,-0.069784,-0.101951,0.000000,-0.069784,1.377111,0.999903
236,0.236000,-0.069588,-0.109364,0.000000,-0.069588,2.173063,0.999903
237,0.237000,-0.069405,-0.116547,0.000000,-0.069405,2.956059,0.999904
238,0.238000,-0.069237,-0.123447,0.000000,-0.069237,3.720407,0.999904
239,0.239000,-0.069086,-0.130015,0.000000,-0.069086,4.460560,0.999905
240,0.240000,-0.068957,-0.136204,0.000000,-0.068957,5.171098,0.999905
241,0.241000,-0.068849,-0.141971,0.000000,-0.068849,5.846805,0.999905
242,0.242000,-0.068767,-0.147272,0.000000,-0.068767,6.482681,0.999905
243,0.243000,-0.068711,-0.152070,0.000000,-0.068711,7.073981,0.999906
244,0.244000,-0.068684,-0.156331,0.000000,-0.068684,7.616267,0.999906
245,0.245000,-0.068687,-0.160021,0.000000,-0.068687,8.105431,0.999906
246,0.246000,-0.068722,-0.163116,0.000000,-0.068722,8.537706,0.999906
247,0.247000,-0.068789,-0.165591,0.000000,-0.068789,8.909722,0.999905
248,0.248000,-0.068889,-0.167429,0.000000,-0.068889,9.218535,0.999905
249,0.249000,-0.069023,-0.168615,0.000000,-0.069023,9.461638,0.999905
250,0.250000,-0.069192,-0.169140,0.000000,-0.069192,9.636983,0.999904
251,0.251000,-0.069395,-0.168999,0.000000,-0.069395,9.743024,0.999904
252,0.252000,-0.069633,-0.168194,0.000000,-0.069633,9.778710,0.999903
253,0.253000,-0.069905,-0.166728,0.000000,-0.069905,9.743510,0.999902
254,0.254000,-0.070210,-0.164612,0.000000,-0.070210,9.637429,0.999901
255,0.255000,-0.070547,-0.161861,0.000000,-0.070547,9.460996,0.999900
256,0.256000,-0.070916,-0.158494,0.000000,-0.070916,9.215277,0.999899
257,0.257000,-0.071315,-0.154535,0.000000,-0.071315,8.901861,0.999898
258,0.258000,-0.071742,-0.150012,0.000000,-0.071742,8.522860,0.999897
259,0.259000,-0.072196,-0.144958,0.000000,-0.072196,8.080891,0.999896
260,0.260000,-0.072675,-0.139409,0.000000,-0.072675,7.579043,0.999894
261,0.261000,-0.073176,-0.133405,0.000000,-0.073176,7.020868,0.999893
262,0.262000,-0.073696,-0.126990,0.000000,-0.073696,6.410348,0.999891
263,0.263000,-0.074235,-0.120210,0.000000,-0.074235,5.751853,0.999890
264,0.264000,-0.074788,-0.113115,0.000000,-0.074788,5.050119,0.999888
265,0.265000,-0.075353,-0.105756,0.000000,-0.075353,4.310190,0.999886
266,0.266000,-0.075927,-0.098187,0.000000,-0.075927,3.537406,0.999885
267,0.267000,-0.076507,-0.090463,0.000000,-0.076507,2.737318,0.999883
268,0.268000,-0.077090,-0.082642,0.000000,-0.077090,1.915681,0.999881
269,0.269000,-0.077674,-0.074780,0.000000,-0.077674,1.078397,0.999879
270,0.270000,-0.078254,-0.066935,0.000000,-0.078254,0.231466,0.999878
271,0.271000,-0.078828,-0.059166,0.000000,-0.078828,-0.619055,0.999876
272,0.272000,-0.079393,-0.051530,0.000000,-0.079393,-1.467078,0.999874
273,0.273000,-0.079945,-0.044083,0.000000,-0.079945,-2.306556,0.999872
274,0.274000,-0.080483,-0.036881,0.000000,-0.080483,-3.131498,0.999870
275,0.275000,-0.081002,-0.029978,0.000000,-0.081002,-3.936017,0.999869
276,0.276000,-0.081501,-0.023425,0.000000,-0.081501,-4.714372,0.999867
277,0.277000,-0.081977,-0.017272,0.000000,-0.081977,-5.460988,0.999866
278,0.278000,-0.082427,-0.011566,0.000000,-0.082427,-6.170500,0.999864
279,0.279000,-0.082849,-0.006350,0.000000,-0.082849,-6.837802,0.999863
280,0.280000,-0.083241,-0.001664,0.000000,-0.083241,-7.458044,0.999861
281,0.281000,-0.083601,0.002454,0.000000,-0.083601,-8.026690,0.999860
282,0.282000,-0.083928,0.005973,0.000000,-0.083928,-8.539551,0.999859
283,0.283000,-0.084220,0.008864,0.000000,-0.084220,-8.992785,0.999858
284,0.284000,-0.084476,0.011103,0.000000,-0.084476,-9.382957,0.999857
