step,time(s),angle(deg),motor_angle(deg),target(deg),error(deg),action,reward
210,0.210000,0.077817,0.105488,0.000000,0.077817,-0.469196,0.999886
211,0.211000,0.077479,0.106013,0.000000,0.077479,-0.466374,0.999886
212,0.212000,0.077149,0.106505,0.000000,0.077149,-0.462689,0.999887
213,0.213000,0.076828,0.106963,0.000000,0.076828,-0.457803,0.999888
214,0.214000,0.076516,0.107387,0.000000,0.076516,-0.452636,0.999889
215,0.215000,0.076213,0.107779,0.000000,0.076213,-0.447014,0.999889
216,0.216000,0.075920,0.108137,0.000000,0.075920,-0.441412,0.999890
217,0.217000,0.075636,0.108463,0.000000,0.075636,-0.435802,0.999891
218,0.218000,0.075363,0.108756,0.000000,0.075363,-0.429470,0.999891
219,0.219000,0.075099,0.109016,0.000000,0.075099,-0.423355,0.999892
220,0.220000,0.074846,0.109245,0.000000,0.074846,-0.417415,0.999892
221,0.221000,0.074604,0.109443,0.000000,0.074604,-0.410436,0.999893
222,0.222000,0.074372,0.109610,0.000000,0.074372,-0.403494,0.999893
223,0.223000,0.074151,0.109746,0.000000,0.074151,-0.396928,0.999894
224,0.224000,0.073941,0.109853,0.000000,0.073941,-0.389846,0.999894
225,0.225000,0.073742,0.109930,0.000000,0.073742,-0.382387,0.999894
226,0.226000,0.073555,0.109978,0.000000,0.073555,-0.375124,0.999895
227,0.227000,0.073378,0.109997,0.000000,0.073378,-0.367812,0.999895
228,0.228000,0.073214,0.109989,0.000000,0.073214,-0.360064,0.999895
229,0.229000,0.073060,0.109954,0.000000,0.073060,-0.352429,0.999895
230,0.230000,0.072918,0.109892,0.000000,0.072918,-0.344342,0.999896
231,0.231000,0.072788,0.109803,0.000000,0.072788,-0.336834,0.999896
232,0.232000,0.072669,0.109689,0.000000,0.072669,-0.328377,0.999896
233,0.233000,0.072562,0.109550,0.000000,0.072562,-0.319819,0.999896
234,0.234000,0.072466,0.109386,0.000000,0.072466,-0.310908,0.999896
235,0.235000,0.072382,0.109198,0.000000,0.072382,-0.303029,0.999896
236,0.236000,0.072309,0.108987,0.000000,0.072309,-0.293467,0.999896
237,0.237000,0.072248,0.108753,0.000000,0.072248,-0.284402,0.999896
238,0.238000,0.072198,0.108497,0.000000,0.072198,-0.275260,0.999896
239,0.239000,0.072160,0.108219,0.000000,0.072160,-0.265377,0.999896
240,0.240000,0.072132,0.107921,0.000000,0.072132,-0.256381,0.999896
241,0.241000,0.072116,0.107602,0.000000,0.072116,-0.246811,0.999895
242,0.242000,0.072111,0.107264,0.000000,0.072111,-0.237382,0.999895
243,0.243000,0.072117,0.106907,0.000000,0.072117,-0.227459,0.999895
244,0.244000,0.072133,0.106531,0.000000,0.072133,-0.217238,0.999895
245,0.245000,0.072161,0.106138,0.000000,0.072161,-0.207317,0.999894
