step,time(s),angle(deg),motor_angle(deg),target(deg),error(deg),action,reward
241,0.241000,0.087054,-0.195045,0.000000,0.087054,5.903701,0.999832
242,0.242000,0.088044,-0.202458,0.000000,0.088044,6.641707,0.999831
243,0.243000,0.088926,-0.209560,0.000000,0.088926,7.307570,0.999831
244,0.244000,0.089697,-0.216341,0.000000,0.089697,8.123808,0.999832
245,0.245000,0.090354,-0.222789,0.000000,0.090354,8.770681,0.999832
246,0.246000,0.090896,-0.228890,0.000000,0.090896,9.121866,0.999833
247,0.247000,0.091318,-0.234622,0.000000,0.091318,9.812721,0.999835
248,0.248000,0.091620,-0.239944,0.000000,0.091620,10.300201,0.999837
249,0.249000,0.091798,-0.244808,0.000000,0.091798,10.211260,0.999840
250,0.250000,0.091852,-0.249163,0.000000,0.091852,10.627205,0.999843
251,0.251000,0.091780,-0.252956,0.000000,0.091780,10.240778,0.999846
252,0.252000,0.091579,-0.256140,0.000000,0.091579,9.442725,0.999850
253,0.253000,0.091250,-0.258689,0.000000,0.091250,9.071467,0.999854
254,0.254000,0.090792,-0.260560,0.000000,0.090792,9.359531,0.999859
255,0.255000,0.090203,-0.261723,0.000000,0.090203,9.722992,0.999864
256,0.256000,0.089484,-0.262179,0.000000,0.089484,9.837576,0.999869
257,0.257000,0.088634,-0.261909,0.000000,0.088634,10.538340,0.999875
258,0.258000,0.087655,-0.260937,0.000000,0.087655,10.441625,0.999881
259,0.259000,0.086547,-0.259318,0.000000,0.086547,10.101408,0.999887
260,0.260000,0.085311,-0.257089,0.000000,0.085311,9.015332,0.999893
261,0.261000,0.083948,-0.254246,0.000000,0.083948,8.482118,0.999899
262,0.262000,0.082460,-0.250766,0.000000,0.082460,8.387171,0.999906
263,0.263000,0.080849,-0.246636,0.000000,0.080849,8.378180,0.999912
264,0.264000,0.079116,-0.241814,0.000000,0.079116,8.214275,0.999919
265,0.265000,0.077265,-0.236296,0.000000,0.077265,5.572169,0.999925
266,0.266000,0.075297,-0.230105,0.000000,0.075297,5.243196,0.999931
267,0.267000,0.073217,-0.223309,0.000000,0.073217,5.321413,0.999938
268,0.268000,0.071027,-0.215960,0.000000,0.071027,5.479825,0.999944
269,0.269000,0.068731,-0.208075,0.000000,0.068731,5.628532,0.999950
270,0.270000,0.066332,-0.199657,0.000000,0.066332,5.783339,0.999956
271,0.271000,0.063835,-0.190716,0.000000,0.063835,6.115557,0.999961
272,0.272000,0.061243,-0.181404,0.000000,0.061243,5.221378,0.999967
273,0.273000,0.058562,-0.171778,0.000000,0.058562,4.774158,0.999972
274,0.274000,0.055796,-0.161843,0.000000,0.055796,6.051089,0.999976
275,0.275000,0.052949,-0.151588,0.000000,0.052949,5.980925,0.999981
276,0.276000,0.050026,-0.140996,0.000000,0.050026,4.094884,0.999984
277,0.277000,0.047032,-0.130051,0.000000,0.047032,4.148515,0.999988
278,0.278000,0.043973,-0.118731,0.000000,0.043973,2.664141,0.999991
279,0.279000,0.040853,-0.107078,0.000000,0.040853,1.342939,0.999994
280,0.280000,0.037679,-0.095133,0.000000,0.037679,0.824949,0.999996
281,0.281000,0.034455,-0.082829,0.000000,0.034455,0.490350,0.999998
282,0.282000,0.031188,-0.070155,0.000000,0.031188,0.193469,0.999999
283,0.283000,0.027883,-0.057215,0.000000,0.027883,-0.072886,1.000000
284,0.284000,0.024547,-0.044034,0.000000,0.024547,-0.342820,1.000000
285,0.285000,0.021185,-0.030703,0.000000,0.021185,-0.678449,1.000000
286,0.286000,0.017803,-0.017318,0.000000,0.017803,-1.048537,0.999999
287,0.287000,0.014408,-0.003929,0.000000,0.014408,-1.446840,0.999998
288,0.288000,0.011006,0.009438,0.000000,0.011006,-1.872422,0.999997
289,0.289000,0.007604,0.022764,0.000000,0.007604,-2.325078,0.999995
290,0.290000,0.004206,0.036035,0.000000,0.004206,-2.803699,0.999993
291,0.291000,0.000821,0.049237,0.000000,0.000821,-3.318359,0.999990
292,0.292000,-0.002548,0.062351,0.000000,-0.002548,-3.869709,0.999987
293,0.293000,-0.005892,0.075352,0.000000,-0.005892,-4.436115,0.999984
294,0.294000,-0.009207,0.088217,0.000000,-0.009207,-5.033236,0.999981
295,0.295000,-0.012487,0.100916,0.000000,-0.012487,-5.693189,0.999977
296,0.296000,-0.015724,0.113420,0.000000,-0.015724,-6.349349,0.999973
297,0.297000,-0.018915,0.125696,0.000000,-0.018915,-7.001462,0.999969
298,0.298000,-0.022052,0.137711,0.000000,-0.022052,-7.598742,0.999965
299,0.299000,-0.025131,0.149428,0.000000,-0.025131,-8.142565,0.999960
300,0.300000,-0.028145,0.160808,0.000000,-0.028145,-8.278114,0.999956
301,0.301000,-0.031090,0.171811,0.000000,-0.031090,-8.046584,0.999951
302,0.302000,-0.033961,0.182395,0.000000,-0.033961,-4.360190,0.999947
303,0.303000,-0.036752,0.192514,0.000000,-0.036752,-3.678230,0.999942
304,0.304000,-0.039458,0.202124,0.000000,-0.039458,-4.555717,0.999938
305,0.305000,-0.042076,0.211187,0.000000,-0.042076,-4.370592,0.999934
306,0.306000,-0.044601,0.219665,0.000000,-0.044601,-2.411838,0.999930
307,0.307000,-0.047028,0.227546,0.000000,-0.047028,-3.334755,0.999926
308,0.308000,-0.049354,0.234848,0.000000,-0.049354,-4.204401,0.999922
309,0.309000,-0.051576,0.241790,0.000000,-0.051576,-4.657535,0.999918
310,0.310000,-0.053689,0.248471,0.000000,-0.053689,-5.141349,0.999915
311,0.311000,-0.055692,0.254862,0.000000,-0.055692,-5.656550,0.999912
312,0.312000,-0.057580,0.260961,0.000000,-0.057580,-6.190513,0.999909
